building_room,case_number,slot_number,equipment_type,asset_tag,clean_asset_tag,serial_number,mac_address,manufacturer,model,model_code,case_helper,slot_helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-29,Laptop,DDC4CY-002539,DDC4CY002539,96NH014,10-98-19-4A-51-F7,Dell,Precision 7680,2250,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-30,Laptop,DDC4CY-002538,DDC4CY002538,93NH014,10-98-19-4A-51-8A,Dell,Precision 7680,2250,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-1,Laptop,DDC4CY-002548,DDC4CY002548,9ZNH014,10-98-19-4A-51-FB,Dell,Precision 7680,2250,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-2,Laptop,DDC4CY-002653,DDC4CY002653,26MH014,10-98-19-4A-52-B9,Dell,Precision 7680,2250,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-3,Laptop,DDC4CY-002620,DDC4CY002620,1CLH014,10-98-19-4A-52-9A,Dell,Precision 7680,2250,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-4,Laptop,DDC4CY-002648,DDC4CY002648,GWMH014,10-98-19-4A-66-70,Dell,Precision 7680,2250,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-5,Laptop,DDC4CY-002525,DDC4CY002525,58NH014,10-98-19-4A-51-1C,Dell,Precision 7680,2250,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-6,Laptop,DDC4CY-002521,DDC4CY002521,6FNH014,10-98-19-4A-65-81,Dell,Precision 7680,2250,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-7,Laptop,DDC4CY-002586,DDC4CY002586,BBMH014,10-98-19-4A-7C-4F,Dell,Precision 7680,2250,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-8,Laptop,DDC4CY-002513,DDC4CY002513,8FNH014,10-98-19-4A-65-DE,Dell,Precision 7680,2250,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-9,Laptop,DDC4CY-002657,DDC4CY002657,JYMH014,10-98-19-4A-66-A8,Dell,Precision 7680,2250,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-10,Laptop,DDC4CY-002593,DDC4CY002593,7GMH014,10-98-19-4A-51-B0,Dell,Precision 7680,2250,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-11,Laptop,DDC4CY-002654,DDC4CY002654,6GMH014,10-98-19-4A-52-A9,Dell,Precision 7680,2250,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-12,Laptop,DDC4CY-002661,DDC4CY002661,76MH014,10-98-19-4A-52-B8,Dell,Precision 7680,2250,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,3,3-13,Laptop,DDC4CY-002741,DDC4CY002741,HNMTH54,AC-B4-80-45-6B-5B,Dell,Precision 7680,2335,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
